nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
     20017, 5.520623169E+02, 9.140740356E+02, 3.262241211E+02, 3.838758945E+00
     20018, 5.193027954E+02, 9.230119019E+02, 3.262241211E+02, 3.833336353E+00
     20019, 5.034223022E+02, 9.273446045E+02, 3.262241211E+02, 3.830574512E+00
     20020, 4.547822876E+02, 9.406151123E+02, 3.262241211E+02, 3.824856758E+00
     20021, 4.061423340E+02, 9.538856201E+02, 3.262241211E+02, 3.820138931E+00
     20022, 3.575023193E+02, 9.671561279E+02, 3.262241211E+02, 3.814611435E+00
     20023, 3.410239258E+02, 9.716519165E+02, 3.262241211E+02, 3.812327385E+00
     20024, 3.088623047E+02, 9.804265747E+02, 3.262241211E+02, 3.807228327E+00
     20025, 2.602223206E+02, 9.936970825E+02, 3.262241211E+02, 3.795705318E+00
     20026, 2.115823212E+02, 1.006967590E+03, 3.262241211E+02, 3.779519081E+00
     20027, 1.629423218E+02, 1.020238037E+03, 3.262241211E+02, 3.757427692E+00
     20028, 1.627447662E+02, 1.020291931E+03, 3.262241211E+02, 3.757309437E+00
     20029, 1.143023148E+02, 1.033508545E+03, 3.262241211E+02, 3.727059841E+00
     20030, 6.566232300E+01, 1.046779053E+03, 3.262241211E+02, 3.691140890E+00
     20031, 1.135742188E+03, 7.548281860E+02, 3.262241516E+02, 3.931051254E+00
     20032, 1.628999786E+02, 1.020249573E+03, 3.262664795E+02, 3.757464647E+00
     20033, 1.630164490E+02, 1.020217773E+03, 3.262982483E+02, 3.757565975E+00
     20034, 6.978964233E+02, 8.742861328E+02, 3.263099060E+02, 3.874803543E+00
     20035, 1.232892944E+03, 7.283225098E+02, 3.263534546E+02, 3.925075769E+00
     20036, 6.981323853E+02, 8.742216797E+02, 3.263742981E+02, 3.874939919E+00
     20037, 1.767889526E+03, 5.823588867E+02, 3.263970947E+02, 3.778369904E+00
     20038, 1.961550781E+03, 5.295220947E+02, 3.264133606E+02, 3.721729755E+00
     20039, 1.233248535E+03, 7.282254639E+02, 3.264505005E+02, 3.925137758E+00
     20040, 1.768365356E+03, 5.822290649E+02, 3.265268860E+02, 3.778399706E+00
     20041, 2.596816826E+01, 1.057608887E+03, 3.267584229E+02, 3.661462784E+00
     20042, 1.981513306E+03, 5.240756836E+02, 3.277727966E+02, 3.720116138E+00
     20043, 2.000000000E+03, 5.190319214E+02, 3.281237183E+02, 3.717365265E+00
     20044, 1.576819336E+03, 6.344887085E+02, 3.295409851E+02, 3.843106985E+00
     20045, 1.041822754E+03, 7.804523926E+02, 3.295846252E+02, 3.934785366E+00
     20046, 5.068262939E+02, 9.264158936E+02, 3.296281128E+02, 3.835957289E+00
     20047, 3.539701843E+02, 9.681197510E+02, 3.297562561E+02, 3.819275141E+00
     20048, 8.889666138E+02, 8.221561890E+02, 3.297998047E+02, 3.924080372E+00
     20049, 1.423963135E+03, 6.761926880E+02, 3.298433533E+02, 3.887921095E+00
     20050, 1.958959595E+03, 5.302290649E+02, 3.298868713E+02, 3.727099419E+00
     20051, 1.996753784E+03, 5.199176025E+02, 3.319299927E+02, 3.722965479E+00
     20052, 1.567696655E+03, 6.369776611E+02, 3.320299072E+02, 3.849144936E+00
     20053, 1.032579956E+03, 7.829739990E+02, 3.321062927E+02, 3.936995506E+00
     20054, 4.974639587E+02, 9.289702148E+02, 3.321824341E+02, 3.838174105E+00
     20055, 3.636849365E+02, 9.654692993E+02, 3.324067383E+02, 3.824070692E+00
     20056, 8.988011475E+02, 8.194730225E+02, 3.324829407E+02, 3.927711964E+00
     20057, 1.433917358E+03, 6.734768066E+02, 3.325591431E+02, 3.888797760E+00
     20058, 2.000000000E+03, 5.190319214E+02, 3.327467957E+02, 3.723891258E+00
     20059, 1.920745605E+03, 5.406550293E+02, 3.329872742E+02, 3.741410971E+00
     20060, 1.385749023E+03, 6.866185913E+02, 3.330308228E+02, 3.901487827E+00
     20061, 8.507525635E+02, 8.325821533E+02, 3.330744019E+02, 3.920370579E+00
     20062, 3.157561340E+02, 9.785457153E+02, 3.331179504E+02, 3.818226814E+00
     20063, 5.450402832E+02, 9.159898682E+02, 3.332461243E+02, 3.848058224E+00
     20064, 1.080036743E+03, 7.700263672E+02, 3.332896423E+02, 3.939347744E+00
     20065, 1.615033203E+03, 6.240627441E+02, 3.333332214E+02, 3.836152077E+00
     20066, 1.211500263E+01, 1.061388428E+03, 3.353677063E+02, 3.662473440E+00
     20067, 0.000000000E+00, 1.064693726E+03, 3.363774109E+02, 3.654452324E+00
     20068, 1.729675415E+03, 5.927848511E+02, 3.364771118E+02, 3.803396463E+00
     20069, 1.194678833E+03, 7.387484741E+02, 3.365206909E+02, 3.938057184E+00
     20070, 6.596823730E+02, 8.847120361E+02, 3.365642700E+02, 3.877082825E+00
     20071, 1.246859665E+02, 1.030675659E+03, 3.366077881E+02, 3.748577118E+00
     20072, 2.011140594E+02, 1.009823669E+03, 3.366923828E+02, 3.790134430E+00
     20073, 7.361104126E+02, 8.638601074E+02, 3.367359314E+02, 3.899359941E+00
     20074, 1.271106934E+03, 7.178964844E+02, 3.367794495E+02, 3.929738760E+00
     20075, 1.806103516E+03, 5.719329224E+02, 3.368230896E+02, 3.779820442E+00
     20076, 1.902144287E+03, 5.457300415E+02, 3.380622864E+02, 3.753204823E+00
     20077, 1.367027954E+03, 6.917263184E+02, 3.381384888E+02, 3.912047148E+00
     20078, 8.319116821E+02, 8.377225342E+02, 3.382147827E+02, 3.922588348E+00
     20079, 2.967954407E+02, 9.837187500E+02, 3.382909546E+02, 3.821312904E+00
     20080, 5.643535767E+02, 9.107206421E+02, 3.385153503E+02, 3.858826160E+00
     20081, 1.099469727E+03, 7.647244263E+02, 3.385915833E+02, 3.944353342E+00
     20082, 1.634586060E+03, 6.187281494E+02, 3.386678467E+02, 3.836957216E+00
     20083, 1.538605103E+03, 6.449146729E+02, 3.399669189E+02, 3.867608547E+00
     20084, 1.003608643E+03, 7.908782959E+02, 3.400105286E+02, 3.942698479E+00
     20085, 4.686122437E+02, 9.368418579E+02, 3.400540466E+02, 3.846201658E+00
     20086, 3.921842041E+02, 9.576937866E+02, 3.401822205E+02, 3.838814497E+00
     20087, 9.271806641E+02, 8.117302246E+02, 3.402257385E+02, 3.938688278E+00
     20088, 1.462177124E+03, 6.657666016E+02, 3.402693176E+02, 3.890065670E+00
     20089, 3.392671585E+01, 1.055437500E+03, 3.402720337E+02, 3.687110424E+00
     20090, 1.882531494E+03, 5.510809937E+02, 3.434132080E+02, 3.765487671E+00
     20091, 1.347534912E+03, 6.970445557E+02, 3.434567871E+02, 3.922283173E+00
     20092, 8.125385132E+02, 8.430081177E+02, 3.435003357E+02, 3.923938274E+00
     20093, 2.775420837E+02, 9.889716797E+02, 3.435438843E+02, 3.824604988E+00
     20094, 4.825792694E+01, 1.051527466E+03, 3.436285095E+02, 3.702939510E+00
     20095, 5.832543335E+02, 9.055639038E+02, 3.436720276E+02, 3.870540619E+00
     20096, 1.118250732E+03, 7.596004028E+02, 3.437156067E+02, 3.948855162E+00
     20097, 1.653247314E+03, 6.136367798E+02, 3.437591858E+02, 3.837224483E+00
     20098, 1.970617798E+03, 5.270482788E+02, 3.441586304E+02, 3.744052887E+00
     20099, 1.701475708E+03, 6.004785156E+02, 3.441707764E+02, 3.822547913E+00
     20100, 1.166359253E+03, 7.464749146E+02, 3.442471313E+02, 3.947477341E+00
     20101, 6.312429810E+02, 8.924711914E+02, 3.443233948E+02, 3.881078959E+00
     20102, 9.612683868E+01, 1.038467407E+03, 3.443995972E+02, 3.740005255E+00
     20103, 2.299058838E+02, 1.001968384E+03, 3.445476990E+02, 3.811645746E+00
